Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
South Sudan,10652,115.0,10462,75,,10.0,159088.0,14068.0,11308732.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Seychelles,9764,35.0,7826,1903,,354.0,21504.0,217474.0,98881.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Benin,8025,101.0,7893,31,35.0,8.0,604310.0,48734.0,12400078.0,30,0.0,241,-211,2021-05-19 02:01:00+00:00
Equatorial Guinea,7694,112.0,7279,303,7.0,78.0,123169.0,85352.0,1443079.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Nicaragua,7193,185.0,4225,2783,,28.0,,,6693619.0,107,1.0,0,106,2021-05-19 02:01:00+00:00
CAR,7010,96.0,5112,1802,2.0,20.0,40907.0,8343.0,4903216.0,144,1.0,0,143,2021-05-19 02:01:00+00:00
Yemen,6586,1297.0,3072,2217,23.0,43.0,43192.0,1421.0,30399596.0,18,3.0,30,-15,2021-05-19 02:01:00+00:00
Iceland,6549,29.0,6462,58,55.0,85.0,633116.0,1844813.0,343187.0,1,0.0,6,-5,2021-05-19 02:01:00+00:00
Gambia,5957,175.0,5701,81,3.0,71.0,76379.0,30850.0,2475827.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Niger,5348,192.0,4995,161,2.0,8.0,103507.0,4146.0,24967921.0,9,0.0,20,-11,2021-05-19 02:01:00+00:00
San Marino,5087,90.0,4974,23,4.0,2648.0,64241.0,1889775.0,33994.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Chad,4905,173.0,4704,28,,10.0,117126.0,6957.0,16836478.0,1,0.0,13,-12,2021-05-19 02:01:00+00:00
Saint Lucia,4871,77.0,4577,217,2.0,418.0,43436.0,235599.0,184364.0,53,1.0,56,-4,2021-05-19 02:01:00+00:00
Timor-Leste,4765,10.0,2517,2238,,7.0,85558.0,63830.0,1340397.0,176,0.0,111,65,2021-05-19 02:01:00+00:00
Vietnam,4512,37.0,2687,1788,,0.4,3091540.0,31512.0,98106757.0,153,0.0,19,134,2021-05-19 02:01:00+00:00
Burundi,4353,6.0,773,3574,,0.5,279132.0,22881.0,12199179.0,6,0.0,0,6,2021-05-19 02:01:00+00:00
Gibraltar,4286,94.0,4192,0,,2791.0,245473.0,7287958.0,33682.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Sierra Leone,4107,79.0,3104,924,,10.0,153257.0,18877.0,8118725.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Channel Islands,4059,86.0,3956,17,,491.0,454413.0,2592675.0,175268.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Barbados,3972,47.0,3922,3,,163.0,163512.0,568374.0,287684.0,4,1.0,0,3,2021-05-19 02:01:00+00:00
Eritrea,3879,14.0,3700,165,,4.0,23693.0,6601.0,3589404.0,11,0.0,24,-13,2021-05-19 02:01:00+00:00
Comoros,3864,146.0,3708,10,,165.0,,,885781.0,1,0.0,9,-8,2021-05-19 02:01:00+00:00
Guinea-Bissau,3746,67.0,3438,241,9.0,33.0,65627.0,32673.0,2008596.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Liechtenstein,2992,58.0,2905,29,3.0,1517.0,39109.0,1023153.0,38224.0,2,0.0,18,-16,2021-05-19 02:01:00+00:00
New Zealand,2658,26.0,2608,24,,5.0,2090622.0,417949.0,5002100.0,5,0.0,0,5,2021-05-19 02:01:00+00:00
Monaco,2495,32.0,2447,16,1.0,810.0,51953.0,1315732.0,39486.0,1,0.0,1,0,2021-05-19 02:01:00+00:00
Bermuda,2479,32.0,2311,136,7.0,516.0,257772.0,4152590.0,62075.0,2,0.0,27,-25,2021-05-19 02:01:00+00:00
Turks and Caicos,2404,17.0,2365,22,2.0,434.0,65926.0,1682816.0,39176.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Sao Tome and Principe,2332,35.0,2277,20,,157.0,13418.0,60247.0,222717.0,2,0.0,2,0,2021-05-19 02:01:00+00:00
Sint Maarten,2307,27.0,2231,49,2.0,624.0,28642.0,661432.0,43303.0,15,0.0,2,13,2021-05-19 02:01:00+00:00
Taiwan,2260,14.0,1127,1119,,0.6,610865.0,25608.0,23854665.0,243,2.0,4,237,2021-05-19 02:01:00+00:00
Liberia,2131,85.0,2016,30,2.0,16.0,101625.0,19689.0,5161433.0,17,0.0,54,-37,2021-05-19 02:01:00+00:00
